threshold,rewiring_probability,strategy,mean_final_adoption_share,std_final_adoption_share,mean_final_adoption_count,mean_steps_until_stable,cascade_rate,mean_average_clustering,mean_average_degree,number_of_runs
0.05,0.0,clustered,1.0,0.0,500.0,124.0,1.0,0.6428571428571429,8.0,50
0.05,0.0,high_degree,1.0,0.0,500.0,126.0,1.0,0.6428571428571429,8.0,50
0.05,0.01,clustered,1.0,0.0,500.0,33.6,1.0,0.6262239365079365,8.0,50
0.05,0.01,high_degree,1.0,0.0,500.0,21.64,1.0,0.6262239365079365,8.0,50
0.05,0.05,clustered,1.0,0.0,500.0,15.96,1.0,0.5560889494949495,8.0,50
0.05,0.05,high_degree,1.0,0.0,500.0,12.64,1.0,0.5560889494949495,8.0,50
0.05,0.1,clustered,1.0,0.0,500.0,12.92,1.0,0.47624890354090355,8.0,50
0.05,0.1,high_degree,1.0,0.0,500.0,10.64,1.0,0.47624890354090355,8.0,50
0.05,0.2,clustered,1.0,0.0,500.0,10.6,1.0,0.3439572423132423,8.0,50
0.05,0.2,high_degree,1.0,0.0,500.0,9.84,1.0,0.3439572423132423,8.0,50
0.05,0.4,clustered,1.0,0.0,500.0,9.92,1.0,0.15155740415140412,8.0,50
0.05,0.4,high_degree,1.0,0.0,500.0,8.2,1.0,0.15155740415140412,8.0,50
0.05,0.8,clustered,1.0,0.0,500.0,8.68,1.0,0.019103238957121255,8.0,50
0.05,0.8,high_degree,1.0,0.0,500.0,8.0,1.0,0.019103238957121255,8.0,50
0.05,1.0,clustered,1.0,0.0,500.0,8.48,1.0,0.0138149672401901,8.0,50
0.05,1.0,high_degree,1.0,0.0,500.0,8.04,1.0,0.0138149672401901,8.0,50
0.1,0.0,clustered,1.0,0.0,500.0,124.0,1.0,0.6428571428571429,8.0,50
0.1,0.0,high_degree,1.0,0.0,500.0,126.0,1.0,0.6428571428571429,8.0,50
0.1,0.01,clustered,1.0,0.0,500.0,33.6,1.0,0.6262239365079365,8.0,50
0.1,0.01,high_degree,1.0,0.0,500.0,21.64,1.0,0.6262239365079365,8.0,50
0.1,0.05,clustered,1.0,0.0,500.0,16.04,1.0,0.5560889494949495,8.0,50
0.1,0.05,high_degree,1.0,0.0,500.0,12.64,1.0,0.5560889494949495,8.0,50
0.1,0.1,clustered,1.0,0.0,500.0,13.0,1.0,0.47624890354090355,8.0,50
0.1,0.1,high_degree,1.0,0.0,500.0,10.64,1.0,0.47624890354090355,8.0,50
0.1,0.2,clustered,1.0,0.0,500.0,10.76,1.0,0.3439572423132423,8.0,50
0.1,0.2,high_degree,1.0,0.0,500.0,9.84,1.0,0.3439572423132423,8.0,50
0.1,0.4,clustered,1.0,0.0,500.0,10.0,1.0,0.15155740415140412,8.0,50
0.1,0.4,high_degree,1.0,0.0,500.0,8.6,1.0,0.15155740415140412,8.0,50
0.1,0.8,clustered,1.0,0.0,500.0,9.64,1.0,0.019103238957121255,8.0,50
0.1,0.8,high_degree,1.0,0.0,500.0,8.04,1.0,0.019103238957121255,8.0,50
0.1,1.0,clustered,1.0,0.0,500.0,9.72,1.0,0.0138149672401901,8.0,50
0.1,1.0,high_degree,1.0,0.0,500.0,8.08,1.0,0.0138149672401901,8.0,50
0.15,0.0,clustered,1.0,0.0,500.0,164.4,1.0,0.6428571428571429,8.0,50
0.15,0.0,high_degree,1.0,0.0,500.0,166.0,1.0,0.6428571428571429,8.0,50
0.15,0.01,clustered,1.0,0.0,500.0,157.52,1.0,0.6262239365079365,8.0,50
0.15,0.01,high_degree,0.9804,0.13859292911256332,490.2,125.88,0.98,0.6262239365079365,8.0,50
0.15,0.05,clustered,1.0,0.0,500.0,76.92,1.0,0.5560889494949495,8.0,50
0.15,0.05,high_degree,1.0,0.0,500.0,50.0,1.0,0.5560889494949495,8.0,50
0.15,0.1,clustered,1.0,0.0,500.0,40.52,1.0,0.47624890354090355,8.0,50
0.15,0.1,high_degree,1.0,0.0,500.0,29.28,1.0,0.47624890354090355,8.0,50
0.15,0.2,clustered,1.0,0.0,500.0,22.92,1.0,0.3439572423132423,8.0,50
0.15,0.2,high_degree,1.0,0.0,500.0,18.56,1.0,0.3439572423132423,8.0,50
0.15,0.4,clustered,1.0,0.0,500.0,16.12,1.0,0.15155740415140412,8.0,50
0.15,0.4,high_degree,1.0,0.0,500.0,13.8,1.0,0.15155740415140412,8.0,50
0.15,0.8,clustered,1.0,0.0,500.0,14.12,1.0,0.019103238957121255,8.0,50
0.15,0.8,high_degree,1.0,0.0,500.0,12.0,1.0,0.019103238957121255,8.0,50
0.15,1.0,clustered,1.0,0.0,500.0,14.4,1.0,0.0138149672401901,8.0,50
0.15,1.0,high_degree,1.0,0.0,500.0,12.0,1.0,0.0138149672401901,8.0,50
0.2,0.0,clustered,1.0,0.0,500.0,164.4,1.0,0.6428571428571429,8.0,50
0.2,0.0,high_degree,1.0,0.0,500.0,166.0,1.0,0.6428571428571429,8.0,50
0.2,0.01,clustered,1.0,0.0,500.0,157.52,1.0,0.6262239365079365,8.0,50
0.2,0.01,high_degree,0.9804,0.13859292911256332,490.2,125.88,0.98,0.6262239365079365,8.0,50
0.2,0.05,clustered,1.0,0.0,500.0,78.92,1.0,0.5560889494949495,8.0,50
0.2,0.05,high_degree,1.0,0.0,500.0,52.16,1.0,0.5560889494949495,8.0,50
0.2,0.1,clustered,1.0,0.0,500.0,46.64,1.0,0.47624890354090355,8.0,50
0.2,0.1,high_degree,0.9804,0.13859292911256332,490.2,31.88,0.98,0.47624890354090355,8.0,50
0.2,0.2,clustered,1.0,0.0,500.0,27.88,1.0,0.3439572423132423,8.0,50
0.2,0.2,high_degree,1.0,0.0,500.0,21.04,1.0,0.3439572423132423,8.0,50
0.2,0.4,clustered,1.0,0.0,500.0,20.84,1.0,0.15155740415140412,8.0,50
0.2,0.4,high_degree,1.0,0.0,500.0,16.72,1.0,0.15155740415140412,8.0,50
0.2,0.8,clustered,0.9620399999999999,0.18789249640175,481.02,21.52,1.0,0.019103238957121255,8.0,50
0.2,0.8,high_degree,1.0,0.0,500.0,14.92,1.0,0.019103238957121255,8.0,50
0.2,1.0,clustered,0.84608,0.3562867361653348,423.04,20.12,1.0,0.0138149672401901,8.0,50
0.2,1.0,high_degree,1.0,0.0,500.0,14.84,1.0,0.0138149672401901,8.0,50
0.25,0.0,clustered,1.0,0.0,500.0,164.4,1.0,0.6428571428571429,8.0,50
0.25,0.0,high_degree,1.0,0.0,500.0,166.0,1.0,0.6428571428571429,8.0,50
0.25,0.01,clustered,1.0,0.0,500.0,161.4,1.0,0.6262239365079365,8.0,50
0.25,0.01,high_degree,0.9804,0.13859292911256332,490.2,129.32,0.98,0.6262239365079365,8.0,50
0.25,0.05,clustered,1.0,0.0,500.0,124.52,1.0,0.5560889494949495,8.0,50
0.25,0.05,high_degree,1.0,0.0,500.0,75.52,1.0,0.5560889494949495,8.0,50
0.25,0.1,clustered,1.0,0.0,500.0,73.68,1.0,0.47624890354090355,8.0,50
0.25,0.1,high_degree,0.9804,0.13859292911256332,490.2,50.92,0.98,0.47624890354090355,8.0,50
0.25,0.2,clustered,1.0,0.0,500.0,43.24,1.0,0.3439572423132423,8.0,50
0.25,0.2,high_degree,1.0,0.0,500.0,31.08,1.0,0.3439572423132423,8.0,50
0.25,0.4,clustered,0.90424,0.2902088312134655,452.12,32.88,1.0,0.15155740415140412,8.0,50
0.25,0.4,high_degree,0.98048,0.13802724368761407,490.24,25.56,1.0,0.15155740415140412,8.0,50
0.25,0.8,clustered,0.03268,0.008306476450361379,16.34,6.8,0.94,0.019103238957121255,8.0,50
0.25,0.8,high_degree,0.65916,0.4591347834653296,329.58,22.92,1.0,0.019103238957121255,8.0,50
0.25,1.0,clustered,0.03304,0.01012767475378072,16.52,6.96,0.92,0.0138149672401901,8.0,50
0.25,1.0,high_degree,0.5990800000000001,0.47601392708145657,299.54,22.88,1.0,0.0138149672401901,8.0,50
0.3,0.0,clustered,1.0,0.0,500.0,245.4,1.0,0.6428571428571429,8.0,50
0.3,0.0,high_degree,1.0,0.0,500.0,246.0,1.0,0.6428571428571429,8.0,50
0.3,0.01,clustered,1.0,0.0,500.0,241.6,1.0,0.6262239365079365,8.0,50
0.3,0.01,high_degree,0.3336,0.46178783006917795,166.8,77.64,0.32,0.6262239365079365,8.0,50
0.3,0.05,clustered,1.0,0.0,500.0,232.2,1.0,0.5560889494949495,8.0,50
0.3,0.05,high_degree,0.41408,0.4834793894262713,207.04,95.76,0.42,0.5560889494949495,8.0,50
0.3,0.1,clustered,0.89244,0.27400023536411755,446.22,179.6,1.0,0.47624890354090355,8.0,50
0.3,0.1,high_degree,0.26584,0.4194781675620609,132.92,46.88,0.34,0.47624890354090355,8.0,50
0.3,0.2,clustered,0.44628,0.4427682878602462,223.14,65.04,1.0,0.3439572423132423,8.0,50
0.3,0.2,high_degree,0.28832,0.427699753546426,144.16,33.8,0.62,0.3439572423132423,8.0,50
0.3,0.4,clustered,0.03304,0.012462122202735713,16.52,8.36,0.92,0.15155740415140412,8.0,50
0.3,0.4,high_degree,0.033319999999999995,0.018172012569232024,16.66,9.16,0.8,0.15155740415140412,8.0,50
0.3,0.8,clustered,0.02384,0.0037436204238078174,11.92,3.88,0.66,0.019103238957121255,8.0,50
0.3,0.8,high_degree,0.02556,0.0034826684585008575,12.78,4.56,0.94,0.019103238957121255,8.0,50
0.3,1.0,clustered,0.023559999999999998,0.0038817206367847776,11.78,3.76,0.64,0.0138149672401901,8.0,50
0.3,1.0,high_degree,0.02648,0.005518946956639834,13.24,4.52,0.9,0.0138149672401901,8.0,50
0.35,0.0,clustered,1.0,0.0,500.0,245.4,1.0,0.6428571428571429,8.0,50
0.35,0.0,high_degree,1.0,0.0,500.0,246.0,1.0,0.6428571428571429,8.0,50
0.35,0.01,clustered,1.0,0.0,500.0,247.8,1.0,0.6262239365079365,8.0,50
0.35,0.01,high_degree,0.3336,0.46178783006917795,166.8,78.32,0.32,0.6262239365079365,8.0,50
0.35,0.05,clustered,0.8934799999999999,0.2698479723163866,446.74,272.56,1.0,0.5560889494949495,8.0,50
0.35,0.05,high_degree,0.32628,0.4479422357074762,163.14,90.64,0.38,0.5560889494949495,8.0,50
0.35,0.1,clustered,0.281,0.3155135108203833,140.5,93.72,1.0,0.47624890354090355,8.0,50
0.35,0.1,high_degree,0.04536,0.0655132826538377,22.68,14.0,0.2,0.47624890354090355,8.0,50
0.35,0.2,clustered,0.055999999999999994,0.02491127111512836,28.0,18.48,1.0,0.3439572423132423,8.0,50
0.35,0.2,high_degree,0.0258,0.013981036719610675,12.9,5.44,0.34,0.3439572423132423,8.0,50
0.35,0.4,clustered,0.02496,0.004952673984004676,12.48,5.2,0.76,0.15155740415140412,8.0,50
0.35,0.4,high_degree,0.021400000000000002,0.0023989793748209532,10.7,3.0,0.4,0.15155740415140412,8.0,50
0.35,0.8,clustered,0.02176,0.0022366155189463915,10.88,3.16,0.46,0.019103238957121255,8.0,50
0.35,0.8,high_degree,0.022479999999999997,0.0021968437470561235,11.24,3.44,0.72,0.019103238957121255,8.0,50
0.35,1.0,clustered,0.0212,0.0017142857142857133,10.6,2.84,0.4,0.0138149672401901,8.0,50
0.35,1.0,high_degree,0.022879999999999998,0.0025922962793631437,11.44,3.6,0.66,0.0138149672401901,8.0,50
0.4,0.0,clustered,1.0,0.0,500.0,486.28,1.0,0.6428571428571429,8.0,50
0.4,0.0,high_degree,1.0,0.0,500.0,490.0,1.0,0.6428571428571429,8.0,50
0.4,0.01,clustered,0.56908,0.2269018343887497,284.54,410.76,1.0,0.6262239365079365,8.0,50
0.4,0.01,high_degree,0.02004,0.000282842712474619,10.02,2.04,0.02,0.6262239365079365,8.0,50
0.4,0.05,clustered,0.08796,0.05742287107458995,43.98,49.04,1.0,0.5560889494949495,8.0,50
0.4,0.05,high_degree,0.03056,0.028445551282320083,15.28,9.96,0.18,0.5560889494949495,8.0,50
0.4,0.1,clustered,0.05056,0.019955215164084248,25.28,19.16,1.0,0.47624890354090355,8.0,50
0.4,0.1,high_degree,0.021560000000000003,0.005241747644378441,10.78,3.04,0.12,0.47624890354090355,8.0,50
0.4,0.2,clustered,0.035,0.008687311883149012,17.5,9.76,0.96,0.3439572423132423,8.0,50
0.4,0.2,high_degree,0.02116,0.0031060178587341562,10.58,3.0,0.22,0.3439572423132423,8.0,50
0.4,0.4,clustered,0.02336,0.003555736956823782,11.68,4.44,0.68,0.15155740415140412,8.0,50
0.4,0.4,high_degree,0.02092,0.0014685825458167312,10.46,2.72,0.32,0.15155740415140412,8.0,50
0.4,0.8,clustered,0.021240000000000002,0.0018020396607110261,10.62,2.96,0.4,0.019103238957121255,8.0,50
0.4,0.8,high_degree,0.02212,0.0022282050980965986,11.06,3.24,0.62,0.019103238957121255,8.0,50
0.4,1.0,clustered,0.02096,0.0014136362144974836,10.48,2.8,0.38,0.0138149672401901,8.0,50
0.4,1.0,high_degree,0.022319999999999996,0.0023685007744071664,11.16,3.44,0.62,0.0138149672401901,8.0,50
0.45,0.0,clustered,1.0,0.0,500.0,486.28,1.0,0.6428571428571429,8.0,50
0.45,0.0,high_degree,1.0,0.0,500.0,490.0,1.0,0.6428571428571429,8.0,50
0.45,0.01,clustered,0.08308,0.03956954095549469,41.54,44.12,1.0,0.6262239365079365,8.0,50
0.45,0.01,high_degree,0.02,0.0,10.0,2.0,0.0,0.6262239365079365,8.0,50
0.45,0.05,clustered,0.03976,0.01120233211871346,19.88,12.36,0.96,0.5560889494949495,8.0,50
0.45,0.05,high_degree,0.022320000000000003,0.008488744047867394,11.16,3.64,0.12,0.5560889494949495,8.0,50
0.45,0.1,clustered,0.03252,0.008673769982786362,16.26,8.24,0.92,0.47624890354090355,8.0,50
0.45,0.1,high_degree,0.02016,0.0011313708498984754,10.08,2.12,0.02,0.47624890354090355,8.0,50
0.45,0.2,clustered,0.026520000000000002,0.005522643555104266,13.26,6.24,0.86,0.3439572423132423,8.0,50
0.45,0.2,high_degree,0.02004,0.0002828427124746187,10.02,2.04,0.02,0.3439572423132423,8.0,50
0.45,0.4,clustered,0.0212,0.0018516401995451025,10.6,2.92,0.38,0.15155740415140412,8.0,50
0.45,0.4,high_degree,0.02008,0.00039589732744431486,10.04,2.08,0.04,0.15155740415140412,8.0,50
0.45,0.8,clustered,0.02032,0.0007406560798180407,10.16,2.32,0.16,0.019103238957121255,8.0,50
0.45,0.8,high_degree,0.02052,0.001129204162592543,10.26,2.4,0.2,0.019103238957121255,8.0,50
0.45,1.0,clustered,0.02052,0.0009739463170891028,10.26,2.48,0.24,0.0138149672401901,8.0,50
0.45,1.0,high_degree,0.02052,0.0008861749953869034,10.26,2.52,0.26,0.0138149672401901,8.0,50
0.5,0.0,clustered,1.0,0.0,500.0,486.28,1.0,0.6428571428571429,8.0,50
0.5,0.0,high_degree,1.0,0.0,500.0,490.0,1.0,0.6428571428571429,8.0,50
0.5,0.01,clustered,0.08308,0.03956954095549469,41.54,44.12,1.0,0.6262239365079365,8.0,50
0.5,0.01,high_degree,0.02,0.0,10.0,2.0,0.0,0.6262239365079365,8.0,50
0.5,0.05,clustered,0.03976,0.01120233211871346,19.88,12.36,0.96,0.5560889494949495,8.0,50
0.5,0.05,high_degree,0.022320000000000003,0.008488744047867394,11.16,3.64,0.12,0.5560889494949495,8.0,50
0.5,0.1,clustered,0.03236,0.00851112117605368,16.18,8.2,0.92,0.47624890354090355,8.0,50
0.5,0.1,high_degree,0.02016,0.0011313708498984754,10.08,2.12,0.02,0.47624890354090355,8.0,50
0.5,0.2,clustered,0.026000000000000002,0.005405967979549857,13.0,5.8,0.84,0.3439572423132423,8.0,50
0.5,0.2,high_degree,0.02004,0.0002828427124746187,10.02,2.04,0.02,0.3439572423132423,8.0,50
0.5,0.4,clustered,0.02116,0.001765427623517189,10.58,2.96,0.38,0.15155740415140412,8.0,50
0.5,0.4,high_degree,0.02008,0.00039589732744431486,10.04,2.08,0.04,0.15155740415140412,8.0,50
0.5,0.8,clustered,0.02032,0.0007406560798180407,10.16,2.32,0.16,0.019103238957121255,8.0,50
0.5,0.8,high_degree,0.02052,0.001129204162592543,10.26,2.4,0.2,0.019103238957121255,8.0,50
0.5,1.0,clustered,0.02044,0.0009293403409880336,10.22,2.4,0.2,0.0138149672401901,8.0,50
0.5,1.0,high_degree,0.02052,0.0008861749953869034,10.26,2.52,0.26,0.0138149672401901,8.0,50
